method,persona_id,realistic,generic,stereotyped,caricature,justification
C,22,4,3,2,1,"Specific details like Fresno, garden center, and Tuesday river walks add believability, though the overall profile touches familiar working-class older-woman tropes."
C,25,4,3,3,1,"Grounded and specific with plausible details, but the combination of traits aligns closely with familiar suburban conservative-leaning white woman tropes."
C,48,4,3,3,1,"Grounded and specific in places but leans on familiar Latina-mom tropes (mole, abuela recipes, soccer moms) that slightly reduce individuality."
C,51,5,2,2,1,"Specific details like Tucson heat, knees limiting volunteering, and 'settled not poor' framing create a grounded, individualized portrait with minimal demographic flattening."
C,76,5,2,2,1,"Specific geographic details, plausible career, and nuanced emotional texture create a convincing individual without leaning on crude regional or demographic shortcuts."
D,11,4,3,3,2,"Grounded with specific details like Dollar General and Thursday coffee, but leans on familiar rural Midwestern working-class woman tropes."
D,17,5,1,2,1,"Highly specific background, mixed heritage, economic pressures, and nuanced AI ambivalence create a distinctive, internally consistent, grounded individual."
D,29,4,2,3,1,"Grounded with specific details and nuanced AI ambivalence, though the working-class single-mom profile edges toward familiar demographic shorthand."
D,31,4,3,2,1,"Grounded and specific with convincing detail, though some elements (true crime, Facebook, wine) cluster toward familiar Midwestern-mom shorthand."
D,97,5,3,2,1,Specific biographical details and nuanced AI ambivalence feel authentic; mild Southern retiree tropes present but not overplayed.
